PkV-RF01	1826	12269	2	2	0	1	0	13
PkV-RF01	24326	41545	2	2	0	1	0	14
PkV-RF01	81526	81795	1	1	0	0	2	54
PkV-RF01	81526	81915	1	1	0	0	1	54
PkV-RF01	81598	81669	1	1	0	2	1	72
PkV-RF01	81598	81795	1	1	0	0	1	27
PkV-RF01	81598	81867	1	1	0	1	1	64
PkV-RF01	81598	81915	1	1	0	2	1	58
PkV-RF01	81634	82793	1	1	0	0	1	17
PkV-RF01	81670	81867	1	1	0	1	0	49
PkV-RF01	81796	81915	1	1	0	1	0	60
PkV-RF01	89396	89815	1	1	0	1	0	62
PkV-RF01	122134	122587	2	2	0	0	5	60
PkV-RF01	122134	122812	2	2	0	0	4	60
PkV-RF01	149652	150984	2	2	0	1	0	64
PkV-RF01	216948	217229	1	1	0	0	1	33
PkV-RF01	217044	217379	1	1	0	1	0	46
PkV-RF01	217056	217391	1	1	0	1	0	28
PkV-RF01	217104	217241	1	1	0	1	0	35
PkV-RF01	217254	217283	1	1	0	1	0	39
PkV-RF01	224646	225032	2	2	0	0	1	19
PkV-RF01	224730	225531	1	1	0	0	1	25
PkV-RF01	224826	225032	2	2	0	0	1	19
PkV-RF01	224964	225134	1	1	0	0	1	42
PkV-RF01	225135	225531	1	1	0	0	1	25
PkV-RF01	225279	225675	1	1	0	0	3	75
PkV-RF01	225357	225501	2	2	0	1	0	41
PkV-RF01	225423	225531	1	1	0	0	4	73
PkV-RF01	225423	225675	1	1	0	1	5	75
PkV-RF01	299740	346911	2	2	0	0	1	13
PkV-RF01	372066	372107	2	2	0	0	1	36
PkV-RF01	372066	372221	2	2	0	0	1	36
PkV-RF01	390001	390480	1	1	0	0	1	29
PkV-RF01	390097	390480	1	1	0	0	3	62
PkV-RF01	390193	390480	1	1	0	0	3	62
PkV-RF01	390289	390480	1	1	0	0	3	62
PkV-RF01	390385	390480	1	1	0	0	3	62
PkV-RF01	390421	390516	1	1	0	0	12	75
PkV-RF01	399841	399891	1	1	0	0	2	30
PkV-RF01	403680	403922	2	2	0	1	0	36
PkV-RF01	414948	415460	2	2	0	1	0	19
PkV-RF01	415677	415937	2	2	0	1	0	46
PkV-RF01	416109	416213	2	2	0	1	0	35
PkV-RF01	476055	558327	1	5	0	0	3	12
PkV-RF01	481038	481073	2	2	0	1	0	52
PkV-RF01	492267	492902	2	2	0	0	1	46
PkV-RF01	492453	492530	2	2	0	0	1	16
PkV-RF01	492453	492608	2	2	0	0	1	16
PkV-RF01	492477	492500	2	2	0	1	1	24
PkV-RF01	492477	492530	2	2	0	0	1	36
PkV-RF01	492477	492608	2	2	0	0	1	36
PkV-RF01	492525	492596	2	2	0	0	1	24
PkV-RF01	492579	492608	2	2	0	1	0	36
PkV-RF01	492633	492758	2	2	0	1	0	31
PkV-RF01	493005	493040	2	2	0	0	1	20
