target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	776.07	0.5	16.3517
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	493.286	10	514.512
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	155.449	0	0
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	440.041	0	0
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	142.287	2	356.746
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	212.376	0	0
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	431.832	0	0
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1190.07	0	0
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	275.851	86	7912.6
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	869.07	65	1898.25
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	363.84	10	697.564
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	779.07	7	228.043
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	707.07	3	107.685
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	273.525	3	278.368
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1037.07	4	97.8919
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	689.139	10	368.288
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1622.07	1	15.6468
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	199.062	1	127.499
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1574.07	5	80.6197
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	387.098	3	196.696
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	809.07	1	31.3696
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1025.07	1	24.7595
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	176.766	3	430.743
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2168.07	9	105.357
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	387.098	1	65.5653
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	221.185	6	688.478
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2015.07	54	680.14
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	155.449	1	163.27
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2282.07	2	22.2431
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	578.706	3	131.57
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	149.115	0	0
