PkV-RF01	81598	81669	1	1	0	0	1	71
PkV-RF01	81598	81795	1	1	0	0	1	70
PkV-RF01	81670	81795	1	1	0	0	2	70
PkV-RF01	81670	81915	1	1	0	1	1	54
PkV-RF01	81670	81987	1	1	0	0	1	38
PkV-RF01	81743	82036	2	2	0	0	1	40
PkV-RF01	81796	81915	1	1	0	0	1	60
PkV-RF01	81851	82018	2	4	0	1	0	55
PkV-RF01	122134	122587	2	2	0	0	6	49
PkV-RF01	122134	122812	2	2	0	0	2	49
PkV-RF01	216903	217055	1	1	0	1	0	22
PkV-RF01	217056	217103	1	1	0	1	0	42
PkV-RF01	217056	217457	1	1	0	1	0	38
PkV-RF01	217128	217253	1	1	0	0	2	46
PkV-RF01	217164	217289	1	1	0	0	1	69
PkV-RF01	217188	217355	1	1	0	0	1	23
PkV-RF01	217254	217391	1	1	0	0	1	32
PkV-RF01	217314	217355	1	1	0	0	1	23
PkV-RF01	225213	225501	2	2	0	1	0	39
PkV-RF01	225213	225609	2	2	0	1	0	40
PkV-RF01	225279	225531	1	1	0	0	1	31
PkV-RF01	225357	225501	2	2	0	4	0	73
PkV-RF01	225423	225531	1	1	0	0	5	67
PkV-RF01	225423	225675	1	1	0	2	1	32
PkV-RF01	389941	390420	1	1	0	0	1	32
PkV-RF01	390097	390480	1	1	0	0	1	71
PkV-RF01	390193	390480	1	1	0	0	1	71
PkV-RF01	390289	390480	1	1	0	0	1	71
PkV-RF01	390385	390480	1	1	0	0	1	71
PkV-RF01	390421	390516	1	1	0	0	4	70
PkV-RF01	414552	415037	2	2	0	1	0	29
PkV-RF01	415110	415577	2	2	0	1	0	29
PkV-RF01	415461	415559	2	2	0	1	0	12
PkV-RF01	415488	415613	2	2	0	0	1	19
PkV-RF01	415497	415613	2	2	0	1	0	48
PkV-RF01	415614	416036	2	2	0	1	0	68
PkV-RF01	415623	416036	2	2	0	1	0	30
PkV-RF01	415767	415892	2	2	0	1	0	21
