target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	785.82	1.5	29.4878
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	502.241	13.5	415.237
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	154.557	2	199.902
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	448.827	0	0
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	141.311	2	218.64
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	214.132	3	216.428
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	440.587	1	35.0625
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1199.82	0	0
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	279.822	40	2208.27
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	878.82	31	544.925
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	372.189	9	373.555
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	788.82	3	58.7514
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	716.82	4	86.2035
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	277.217	1	55.7257
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1046.82	8	118.057
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	698.89	12	265.245
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1631.82	290	2745.37
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	199.926	0	0
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1583.82	3	29.2611
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	395.659	3	117.132
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	818.82	0	0
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1034.82	2	29.8566
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	176.563	1370	119866
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2177.82	20	141.868
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	395.659	0	0
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	223.372	7	484.11
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2024.82	26	198.364
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	154.557	0	0
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2291.82	4	26.9621
