target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	749.586	8	32.3475
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	466.334	149.5	971.666
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	133.52	17	385.901
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	413.395	4	29.327
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	121.685	36	896.682
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	189.131	18	288.457
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	404.99	5	37.4195
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1163.59	3	7.81439
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	249.308	1804	21931.7
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	842.586	250	899.286
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	335.797	375	3384.76
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	752.586	40	161.093
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	680.586	25	111.334
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	247.145	21	257.537
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1010.59	13	38.989
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	662.65	383	1751.81
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1595.59	95	180.458
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	175.42	21	362.838
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1547.59	77	150.802
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	359.545	25	210.746
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	782.586	11	42.6023
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	998.586	10	30.352
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	153.184	1116	22081.2
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2141.59	127	179.738
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	359.545	3	25.2895
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	198.289	212	3240.47
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	1988.59	155	236.243
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	133.52	7	158.9
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2255.59	46	61.8117
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	552.989	43	235.681
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	128.135	6	141.925
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1442.59	28	58.8286
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2387.59	129	163.758
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	466.334	21	136.488
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	303.461	1	9.98778
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1067.59	6	17.0342
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1457.59	14	29.1116
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	290.816	65	677.436
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1265.59	301	720.854
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1106.59	12	32.8676
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	872.586	44	152.833
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2849.59	231	245.699
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	611.83	30	148.615
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4187.59	782	565.999
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	388.931	261	2033.95
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	380.647	13	103.513
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	244.735	2	24.7689
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	611.83	99	490.43
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	611.83	9	44.5845
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	200.306	19	287.496
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	292.73	163	1687.69
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1142.59	148	392.595
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2450.59	403	498.434
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	674.586	770	3459.6
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	367.003	59	487.253
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	283.431	20	213.873
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2144.59	7	9.89298
