target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	802.895	0.5	10.1016
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	518.837	16	500.229
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	164.727	0	0
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	464.999	2	69.7681
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	150.913	0	0
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	225.008	4	288.364
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	456.416	2	71.0802
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1216.89	0	0
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	291.402	63	3506.94
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	895.895	89	1611.43
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	384.572	22	927.95
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	805.895	2	40.2561
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	733.968	5	110.503
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	288.901	2	112.295
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1063.89	9	137.222
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	716.039	26	589.001
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1648.89	3	29.5126
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	210.607	3	231.061
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1600.89	3	30.3975
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	409.324	2	79.2578
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	835.895	9	174.651
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1051.89	3	46.2624
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	186.236	18	1567.79
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2194.89	57	421.251
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	409.324	0	0
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	234.925	10	690.478
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2041.89	50	397.206
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	164.727	0	0
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2308.89	7	49.1783
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	606.734	6	160.41
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	157.316	3	309.335
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1495.89	2	21.6875
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2440.89	7	46.5188
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	518.837	4	125.057
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	350.944	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1120.89	1	14.4715
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1510.89	13	139.569
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	336.882	56	2696.43
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1318.89	111	1365.19
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1159.89	6	83.9097
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	925.895	4	70.0774
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2902.89	38	212.34
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	665.174	3	73.1586
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4240.89	63	240.97
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	439.904	15	553.111
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	431.914	0	0
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	286.272	0	0
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	665.174	72	1755.81
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	665.174	0	0
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	237.579	10	682.765
